Título principal,Subtítulo,Párrafo
Los cuentos que escribía Kafka,,
,Sin subtítulo,Por Diego Cano
,Sin subtítulo,"Publicado por Editorial Barenhäus, con prólogo de Ariel Luppino, tomamos un extracto deFranz Kafka. Una literatura del absurdo y la risa."
,Sin subtítulo,Por Diego Cano.
,Sin subtítulo,
,Sin subtítulo,"La primera selección de cuentos publicada por Kafka reúne casi todos los mecanismos literarios que caracterizan sus escritos y, por eso, pueden ser una buena puerta de entrada para aquellos lectores que quieran conocer mejor al autor. Son relatos de una llamativa perfección, donde todo cierra y no hay ningún detalle de sobra. Realidades absurdas, exageraciones grotescas que causan risa, animalizaciones de personas o personificaciones de animales, ambigüedades son algunos de los pilares que el autor utilizó en la construcción de estas narraciones, provocando que estos cuentos no dejen al lector en paz, ya que debe mantenerse alerta ante el vaivén de sentido que los textos producen. Ya es conocido el uso en Kafka de la ironía, el sarcasmo o la hipérbole para relatar situaciones desmesuradas y el desparpajo para describir con total naturalidad escenas absurdas y eso convierte a estos textos en un buen punto de referencia para analizar su literatura toda. Además, dentro de estos mundos ficcionales absurdos que se construyen se tocan temáticas universales como la política y la problemática de la burocracia del Estado y la desigualdad ante la ley, el arte y sus condiciones esenciales de existencia, conflictos culturales, conflictos familiares y la bestialidad del ser humano frente a algunas situaciones, generando que el lector identifique estos escritos con su propia cotidianidad. Por todo esto, puede decirse que la lectura de Kafka es una constante oscilación entre la identificación y el asombro, y eso es lo que genera placer al leerla."
,Sin subtítulo,"Para interpretar estos cuentos, lo primero que debemos hacer es dejar de lado la intención de buscar símbolos, metáforas o alegorías. Son relatos muy breves en los que aparecen personajes de todo tipo, desde un simio que le habla en conferencia a la Academia, hasta una bobina de hilos viejos que se comporta como un ser animado, y esa variedad puede tentarnos a buscar traducciones en la realidad. Si bien esto es una característica de toda la literatura de Kafka, la sucesión de historias cortas hace que sea más trabajoso adaptarse a la lógica propia de cada uno de esos mundos ficcionales, ya que el relato rápidamente termina y debemos introducirnos y entender la lógica del siguiente. Marthe Robert, en el libroAcerca de Kafka. Acerca de Freudtiene un capítulo dedicado a este tema que se titula “Simbolismo y crítica de los símbolos”, en el que cuestiona a la crítica que se apoya en la creencia de que las obras deben ser descifradas por medio de claves extra-literarias, alegando: “El fracaso de este movimiento de interpretación simbólica ahora es un hecho comprobado; queda todavía por explicar por qué, si en otros terrenos no menos difíciles ha resultado tan fecundo, tenía que fracasar necesariamente aquí”. Este fracaso, a mi parecer, se justifica en el hecho de que estos textos no ofrecen una interpretación única, sino que depende de la mirada de cada lector. En Kafka, lo literario se basta a sí mismo."
,Sin subtítulo,"La ambigüedad del lenguaje que utiliza Kafka lleva a poder realizar múltiples interpretaciones sin que una sola sea la correcta, sino todas a la vez. En sus relatos, no existe una relación cifrable entre un signo y una idea, los elementos están conectados a realidades heterogéneas. Lo importante es, como plantean Deleuze y Guattari, elegir una puerta de entrada posible y, desde allí, armar un sistema de interpretación. Robert plantea algo similar, en los relatos de Kafka hay “hechos curiosamente desplazados (pero lógicos, a partir del momento que se descubre la cadena de asociaciones psíquicas que los unen)”. Lo más interesante de esta literatura es el placer que produce leerla justamente por el hecho de que no se subestima al lector, sino, al contrario, éste debe ocupar un lugar activo. Todo el tiempo debemos mantener la guardia alta para poder decodificar la lógica interna y la realidad distorsionada de cada relato y así entender cómo funcionan los personajes y situaciones aparentemente absurdas."
,Sin subtítulo,"Las dificultades para su publicación y la contradictoria dedicatoria a su padre hacen que este libro sea kafkiano desde sus comienzos. Según la biografía de Reiner Stach, estos breves relatos fueron escritos alrededor de 1917 y conformaban “el extracto aprovechable de tres cuadernos en octavo” que Kafka ansiaba con publicar. Los primeros dos cuentos que se editaron fueron “Chacales y árabes” y “Un informe para una academia”, ambos con temática judía que aparecieron en la revistaDer Jude,dirigida por Martin Buber. Lo que muchos no saben es que la llegada de Kafka a esta revista fue, en gran medida, impulsada por Brod que le reclamaba a su director que debía publicar literatura. La discusión acerca del idioma y qué características debía tener la literatura judía era lo que impedía que Buber concediera esta demanda y esto es una muestra de las dificultades que le pudo traer a Kafka el hecho de ser un escritor checo de origen judío escribiendo en lengua alemana: “Es evidente que en la literatura alemana hay elementos de un espíritu específicamente judío, en síntesis peculiar con lo alemán. Va contra mi pensamiento y sentimiento que una obra pueda pertenecer a dos literaturas; y seguramente ni Werfel, por ejemplo, ni usted piensan en segregarse de la literatura alemana”. Luego de que Buber finalmente se decidiera a publicar textos literarios en su revista, Kafka le entregó un puñado de manuscritos entre los que eligió esos dos relatos que podían interpretarse dentro de la línea ideológica de la revista."
,Sin subtítulo,"Los problemas que tuvo Kafka para publicar estos relatos se relacionan con el contexto. Mientras el escritor mantuvo por largo tiempo correspondencia con Wolff, su editor, en todo Europa se sufrían las consecuencias de los últimos años de la Primera Guerra Mundial. La problemática editorial tuvo que ver con la falta de personal calificado y de materia prima. En julio de 1917, Kafka envió las copias mecanografiadas a Kurt Wolff Verlag y recién en mayo de 1920 salió una tirada de alrededor de mil ejemplares. Es decir que el trabajo de corrección, edición e impresión duró aproximadamente tres años. La ansiedad del autor por publicarlo se incrementó cuando decidió dedicarle este libro a su padre."
