Título principal,Subtítulo,Párrafo
"Franz Kafka, un escritor atormentado",,
,Foto del día,Pulsa y descubrelafoto del díacompleta
,Foto del día,temas/Biografías
,Foto del día,Autor de La Metamorfosis
,kafka,Especialista en actualidad histórica
,kafka,Actualizado a28 de mayo de 2024 · 09:26·Lectura:
,kafka,Tu revista Historia National Geographic por solo1€ al mes durante 6 meses. ¡Por tiempo limitado!
,kafka,"¡NOVEDAD! Pack de3 libros de Historia del antiguo Egiptopor solo29,97 €22,5 €¡Unidades limitadas!"
,kafka,"Al igual que Gregorio Samsa, el protagonista deLa Metamorfosis, una de las obras más famosas del escritor checoFranz Kafka, este murió en el anonimato el 3 de junio de 1924 a causa de una tuberculosis."
,kafka,"A pesar de que su vida personal fue tan tormentosa como refleja su obra, Kafka fue en realidad un hombre agradable y de trato fácil. Poseía un sentido del humor que fascinaba a sus amigos, casi todos intelectuales judíos con los que asistía a conferencias en Praga. En una de ellas conoció al escritor Max Brod, quien a la postre se convertiría en su mejor amigo y, a su muerte, en un ""traidor""."
,kafka,Artículo recomendado
,kafka,
,kafka,Diez claves para entender el pensamiento de Martin Heidegger
,kafka,
,kafka,Leer artículo
,"Agradable, pero incomprendido","Franz Kafka fue el mayor de seis hermanos y de él se esperaba que en un futuro se hiciera cargo del negocio familiar. Pero los planes del joven eran bien distintos, lo que provocó un violento enfrentamiento con su padre, un hombre dominante y de carácter irascible. Sintiéndose incomprendido, Kafka ocultó sus sentimientos reales en una especie de caparazón para que nadie lo tildara de ""bicho raro"".Tras abandonar el hogar familiar, plasmó sus emociones más íntimas enLa metamorfosis, obra publicada en 1915."
,"Agradable, pero incomprendido","Sintiéndose incomprendido, Kafka ocultó sus sentimientos reales en una especie de caparazón para que nadie lo tildara de ""bicho raro""."
,"Agradable, pero incomprendido","Anteriormente había publicadoLa condena(1913), donde narra la historia de un padre ya viejo y aparentemente enfermo que logra recobrar de repente la vitalidad y su autoridad opresiva para maldecir a su hijo, que tan sólo deseaba vivir su propia vida.La particularidad de esta obra es que fue escrita de una tirada, desde las diez de la noche hasta las seis de la mañana. Según cuenta Kafka en su diario personal, cuando la terminó temblaba y tenía las piernas entumecidas de estar tanto tiempo sentado; las pocas fuerzas que le quedaban las aprovechó para irse a la cama y dormir de un tirón."
,"Agradable, pero incomprendido","Según cuenta Kafka en su diario personal, escribió su obra 'La condena' de una tirada, desde las diez de la noche hasta las seis de la mañana."
,"Agradable, pero incomprendido","Otra de las grandes obras de Kafka esEl proceso,libro que se publicó póstumamente en 1925 gracias a su amigo Max Brod. De no haber sido así, esta obra se hubiera perdido para siempre por expreso deseo del autor.La novela empieza con el arresto de Joseph K. en su casa acusado por por un desconocido de un crimen del que tampoco sabe nada.Desde ese momento, K. se adentra en una auténtica pesadilla. Ante unos jueces enigmáticos que aparentemente ignoran los detalles del caso, K. acaba repasando su vida en busca de algún hecho que sea merecedor de la denuncia y su posterior detención. La inaccesibilidad de las altas instancias de la justicia y del Estado atrapará al protagonista en un laberinto desmoralizante."
,Buscando el amor,"Kafka nació en el antiguo gueto de Praga y a pesar de que su padre trató de alejarse de la comunidad judía y de que su familia fuera declarada oficialmente checa,Franz se interesó por un tipo concreto de judaísmo: el jasídico,que daba una especial importancia a lo místico y a lo sobrenatural. Aún así también estuvo abierto a otros movimientos como el sionismo, que defendía la creación de un Estado judío en Israel."
,Buscando el amor,"AunqueKafka tuvo cuatro parejas,nunca consiguió tener una relación estable hasta conocer a Dora Diamant. Su primera novia se llamabaFelice Bauery erahija de un comerciante berlinés;la joven deseaba casarse, pero Kafka no tenía clara la relación. Más tarde conoció aJulie Wohryzek, descendiente de un zapatero judío,lo que fue suficiente que el padre de Franz se opusiera al compromiso entre ambos y acabara forzando su ruptura. Su relación conla periodista checa Milena Jesenkáfue prácticamente epistolar y sólo se vieron en dos ocasiones, motivo por cual su relación acabó diluyéndose.La última, Dora Diamant, era hija de un comerciante judíoy le acompañaría hasta el final de sus días. Fue con Dora con quien seguramente el escritor pudo por fin entablar una auténtica relación de pareja. Gracias a ella se mudaron a Berlín, donde, a pesar de vivir de manera muy austera, fueron realmente felices. Uno de sus sueños era instalarse en Palestina y abrir un restaurante en el que ella sería la cocinera y él, camarero. Sueño que finalmente no pudieron cumplir."
,Buscando el amor,"Uno de los sueños de Kafka y Dora era instalarse en Palestina y abrir un restaurante en el que ella sería la cocinera y él, camarero."
,Buscando el amor,"A mediados de agosto de 1917, empezó para Kafka su peor pesadilla cuando se despertó en mitad de la noche vomitando sangre.Su diagnóstico de tuberculosis, una enfermedad bastante extendida por aquel entonces y que era prácticamente incurable, lo llevó de balneario en balneario. Según su biógrafo, Radek Malý, Kafka ""luchó contra la tuberculosis durante los siguientes siete años, lo que cambió radicalmente su forma de vida""."
,Un final agónico,"En una carta escrita por el propio Kafka a Milena Jesenká desde un sanatorio en el norte de Italia, le preguntaba: ""Quién me soportará en el hotel si toso como ayer, de 9:45 a 11:00, ininterrumpidamente. Luego me duermo, y hacia las 12:00doy vueltas y más vueltas en la cama y vuelvo a toser hasta la una"". Mientras los pacientes tomaban el sol y seguían sus estrictas dietas, Kafka se dedicaba a la lectura y la correspondencia."
,Un final agónico,"En un sanatorio en el norte de Italia, mientras los pacientes tomaban el sol y seguían sus estrictas dietas, Kafka se dedicaba a la lectura y la correspondencia."
,Un final agónico,"Al salir del sanatorio, Franz se instaló en una casa que su hermana tenía en el campo y en la que escribióEl castillo. Durante el mes de abril de 1924, la tuberculosis le obligó a ingresar de nuevo en un sanatorio, esta vez en el de Kierling, Austria, dondeel 3 de junio de 1924, moría en brazos de su amada Dora.Según palabras de la propia Dora: ""Un día vivido con Franz supera todo lo que jamás hubiera escrito""."
,"El ""albacea""","¿Pero alguien se imagina el mundo de la literatura sin la obra de Franz Kafka? Pues no la conoceríamos en su totalidadsi su íntimo amigo, Max Brod, hubiera hecho caso del último deseo del autor: ""Mi última petición. Todo lo que dejo atrás [...] en forma de cuadernos, manuscritos, cartas, borradores, etcétera, deberá incinerarse sin leerse y hasta la última página"". Estas son las palabras que Brod halló escritas entre los archivos de casa del escritor. Durante su enfermedad, Kafka, no sabía si se recuperaría y le dijo a su amigo que los únicos libros que debían sobrevivirle eranLa condena, El fogonero, La metamorfosis, En la colonia penal, Un médico ruralyUn artista del hambre."
,"El ""albacea""","""Mi última petición. Todo lo que dejo atrás [...] en forma de cuadernos, manuscritos, cartas, borradores, etcétera, deberá incinerarse sin leerse y hasta la última página""."
,"El ""albacea""","Kafka era incapaz de destruir su obra e hizo recaer dicha responsabilidad en la persona de su intimo amigo, Max Brod. Tras el entierro del escritor, su padre firmó un contrato por el que otorgaba a Brod el derecho a publicar póstumamente todas las obras de Franz Kafka. En palabras de Brod: ""Debería haber designado a otro albacea si estaba total y completamente decidido a que se cumplieran sus instrucciones"".Brod pasó el resto de su vida ensalzando la figura de su fallecido amigo, al cual calificó como: ""El más profético (y perturbador) cronista del siglo XX""."
,"El ""albacea""",Recomendamos
,"El ""albacea""",Historia
,"George Orwell: escritor, anarquista y teniente en la Guerra Civil","Novelista crítico y visionario, George Orwell reflejó en su obra literaria la cara más oscura de los totalitarismos del siglo XX y vaticinó algunos de los cambios sociales que han determinado el presente."
,"George Orwell: escritor, anarquista y teniente en la Guerra Civil",Aitana Palomar S.
,"George Orwell: escritor, anarquista y teniente en la Guerra Civil",Historia
,"Oscar Wilde, el escritor más rebelde de la era victoriana","Conocido por obras como 'El príncipe feliz' y 'El retrato de Dorian Gray', Oscar Wilde es considerado uno de los escritores más importantes de finales del siglo XIX."
,"Oscar Wilde, el escritor más rebelde de la era victoriana",Aitana Palomar S.
,"Oscar Wilde, el escritor más rebelde de la era victoriana",Historia
,"Lope de Vega, el escritor más mujeriego del Siglo de Oro español","De orígenes humildes, uno de los más grandes representantes de nuestro Siglo de Oro tuvo una vida enormemente agitada y repleta de lances amorosos. Con todo, su producción literaria fue enorme."
,"Lope de Vega, el escritor más mujeriego del Siglo de Oro español",J. M. Sadurní
,"Lope de Vega, el escritor más mujeriego del Siglo de Oro español",LO MÁS VISTO
,"Lope de Vega, el escritor más mujeriego del Siglo de Oro español",Isabel de Baviera
,La vida de Sissi Emperatriz,
,La vida de Sissi Emperatriz,Arqueología en Tierra Santa
,Así avanzan las excavaciones en el Santo Sepulcro de Jerusalén,
,Así avanzan las excavaciones en el Santo Sepulcro de Jerusalén,Dama con armiño
,"La ""primera"" Gioconda",
,"NEWSLETTERSApúntate a los newsletter que más te interesen y recibe gratis los mejores reportajes, fotografías, y noticias cada semana en tu email.APÚNTATE AHORA","Apúntate a los newsletter que más te interesen y recibe gratis los mejores reportajes, fotografías, y noticias cada semana en tu email."
,"NEWSLETTERSApúntate a los newsletter que más te interesen y recibe gratis los mejores reportajes, fotografías, y noticias cada semana en tu email.APÚNTATE AHORA",SUSCRÍBETE POR SOLO 1€/MES
,"NEWSLETTERSApúntate a los newsletter que más te interesen y recibe gratis los mejores reportajes, fotografías, y noticias cada semana en tu email.APÚNTATE AHORA",Alimenta tu curiosidadpor solo 1€ al mes
,"NEWSLETTERSApúntate a los newsletter que más te interesen y recibe gratis los mejores reportajes, fotografías, y noticias cada semana en tu email.APÚNTATE AHORA",Explora nuevos destinospor solo 1€ al mes
,"NEWSLETTERSApúntate a los newsletter que más te interesen y recibe gratis los mejores reportajes, fotografías, y noticias cada semana en tu email.APÚNTATE AHORA",Da un paso más en historiapor solo 1€ al mes
