Título principal,Subtítulo,Párrafo
Secretaría de CulturaPresidencia de la Nación,,
,Sin subtítulo,"El escritor checo,Franz Kafka, nació en Praga el3 de julio de 1883. Su madre fue Julie Löwy yHermann Kafkasu padre, una figura autoritaria y exigente que sería representado en muchas de las obras del autor. Además de escritor,se doctoró en derecho en 1906, carrera que eligió coercionado por su progenitor."
,Sin subtítulo,"Escribió en alemán y fue autor de obras comoLa metamorfosis(1915),En la colonia penitenciaria(1919) y otros relatos cortos o novelas comoEl proceso,El castilloyAmérica, escritas entre 1911 y 1920. Sin embargo, fueron publicadas póstumamente en 1925, 1926, 1927, respectivamente, gracias a su amigo, colega y editorMax Brod, a quien Franz conoció en sus épocas de estudiante en la Universidad de Praga."
,Sin subtítulo,
,Sin subtítulo,"Finalizados sus estudios, cuenta el sitioBiografias y Vidas, ""trabajó en diversos bufetes de abogados y, desde 1908, en una compañía de seguros de Praga.Allí desempeño sus tareas con eficiencia y puntualidad, llegando a merecer un ascenso; sin embargo, carecía por completo de ambición profesional. El aburrido empleo (que no abandonaría definitivamente hasta 1920, a causa de su deteriorada salud) le ocupaba solamente las mañanas ypodía dedicar las tardes y las noches a la literatura, su verdadera pasión""."
,Sin subtítulo,"Murió el 3 de junio de 1924,a los 40 años, por tuberculosis."
,Siete libros clásicos de Kafka,SEDES
,Siete libros clásicos de Kafka,ORGANISMOS
,Siete libros clásicos de Kafka,TRÁMITES y SERVICIOS
,Siete libros clásicos de Kafka,OTRAS SECCIONES
